doc,cq,covered,rows,required_vars,query_path
dsa_050.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_050.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_050.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_050.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_051.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_051.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_051.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_051.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_052.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_052.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_052.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_052.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_053.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_053.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_053.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_053.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_054.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_054.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_054.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_054.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_055.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_055.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_055.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_055.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_056.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_056.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_056.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_056.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_057.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_057.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_057.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_057.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_058.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_058.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_058.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_058.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_059.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_059.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_059.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_059.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_060.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
